,Activity_Type,Date,Title,Distance,Calories,Time,Avg_HR,Max_HR,Aerobic_TE,Avg_Speed,Max_Speed,Total_Ascent,Total_Descent,Avg_Cadence,Max_Cadence,Normalized_Power,Training_Stress_Score,Max_Avg_Power(20min),Avg_Power,Max_Power,Total_Strokes,Min_Temp,Moving_Time,Elapsed_Time,Min_Elevation,Max_Elevation,Bike
192,Indoor Cycling,2021-03-14 15:21:00,Jízda na kole uvnitř,14.47,370.0,0 days 00:31:22,146,178,3.2,27.7,30.7,0,0,76,83,223,42.1,234,198,298,2387,20.0,0 days 00:31:22,0 days 00:31:22,0,0,Tacx
193,Indoor Cycling,2021-03-13 14:37:00,Jízda na kole uvnitř,42.44,833.0,0 days 01:30:00,132,155,2.9,28.3,66.8,0,0,77,91,161,62.7,184,155,217,6942,20.0,0 days 01:29:59,0 days 01:33:00,0,0,Tacx
194,Indoor Cycling,2021-03-11 17:05:00,Jízda na kole uvnitř,26.25,465.0,0 days 01:00:01,121,135,2.1,26.3,29.9,0,0,71,81,131,27.3,137,129,167,4276,20.0,0 days 01:00:01,0 days 01:00:01,0,0,Tacx
195,Indoor Cycling,2021-03-09 17:32:00,20minutové intervaly se stoupáním,32.57,848.0,0 days 01:10:02,154,177,4.2,27.9,31.5,0,0,76,88,220,90.3,243,203,276,5366,20.0,0 days 01:10:01,0 days 01:10:02,0,0,Tacx
196,Indoor Cycling,2021-03-06 13:08:00,1. 💯 Fuck lockdown,104.03,19.0,0 days 04:00:24,127,149,3.4,26.0,30.2,0,0,72,83,138,123.4,173,132,208,16903,19.0,0 days 03:54:09,0 days 04:00:24,0,0,Tacx
197,Indoor Cycling,2021-03-04 18:18:00,Jízda na kole uvnitř,25.53,444.0,0 days 01:00:01,122,129,2.1,25.5,28.5,0,0,71,80,124,24.7,128,124,149,4261,21.0,0 days 01:00:01,0 days 01:00:48,0,0,Tacx
198,Indoor Cycling,2021-03-02 15:56:00,Intervaly s maximálním úsilím,36.0,835.0,0 days 01:23:34,145,183,3.9,25.8,42.4,0,0,73,121,215,103.2,228,169,388,6046,21.0,0 days 01:23:34,0 days 01:23:34,0,0,Tacx
199,Indoor Cycling,2021-02-25 18:39:00,Aerobní trénink v zóně 2,28.07,517.0,0 days 01:01:16,128,140,2.3,27.5,30.1,0,0,76,84,143,33.3,150,141,169,4693,21.0,0 days 01:01:15,0 days 01:01:16,0,0,Tacx
200,Indoor Cycling,2021-02-23 17:19:00,Intervaly s maximálním úsilím,37.19,831.0,0 days 01:22:40,145,186,3.9,27.0,46.4,0,0,75,119,214,101.4,224,170,417,6250,21.0,0 days 01:22:40,0 days 01:23:01,0,0,Tacx
201,Mountain Biking,2021-02-20 14:30:00,Praha Horská cyklistika,40.69,1047.0,0 days 01:57:43,130,167,3.0,20.7,48.8,235,237,0,0,0,0.0,0,0,0,0,7.0,0 days 01:57:20,0 days 02:01:12,197,362,Rockhopper
